date,id,idTraining,title,arrows
2026-04-09,gpEynpNhbnWcDYLlll0B,B5D2c2CDxTAHVYUqh2QM,,"10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0"
2026-04-06,wkyI5SwqlXfYYaZk1xGf,SZolYoUCJin85FOXXesB,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,6:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,4:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0"
2026-04-04,OXNwvHIrzQcbhzGDooPa,3hxxCIOYmD9bcM6WEPGU,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0"
2026-03-19,DV0ue6a4tRCiTuh3zdMF,eQPJQCmoOCAksgpGXQbs,,"10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,6:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0"
2026-03-08,HvIK0yFQsrZ3mnuKJDRe,NsNoEQKJYd837HozbGjx,Qualifications,"9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0"
2026-03-01,AlUcEgthddra6L7fs4OH,VzSHHWsa3Y5msPrhJAqP,,"9:5.424:-1.405,9:-5.307:-2.039,9:-4.673:0.839,10:0.107:1.473,10:-2.331:2.888,10:-1.892:-1.697,9:-4.965:1.18,9:-3.6:2.839,9:-3.648:-3.502,10:-0.088:0.059,9:-2.917:4.887,10:3.717:0.351,10:-0.673:0.595,10:-1.6:2.351,9:3.229:-5.112,10:3.473:1.132,10:-2.429:-1.697,9:0.107:4.936,10:-0.966:0.741,10:1.522:2.79,8:-3.405:7.863,9:4.497:5.57,9:-4.721:-0.137,10:0.79:-0.917,10:-1.405:-2.234,10:1.473:3.961,10:0.01:0.156,10:3.327:-0.722,9:-8.185:0.595,10:-2.527:2.205,10:3.522:2.351,10:1.18:-0.917,10:-2.38:-1.697,10:-1.551:2.839,9:-3.063:3.668,10:-2.283:-2.136,9:-3.112:4.204,10:0.01:-0.429,9:4.253:-5.112,10:1.863:-0.283,10:1.083:-4.185,9:-2.429:4.887,10:0.107:0.205,10:-0.527:-3.892,10:0.644:-0.868,10:-2.819:-2.722,10:-3.209:0.936,9:-4.283:-3.697,9:3.375:-4.185,10:3.765:-0.966,10:-2.234:-2.673,10:-0.722:2.985,10:0.449:-0.966,9:-1.356:4.936,10:-0.234:-0.332,8:-10.77:-0.088,10:-1.454:-2.966,9:-3.014:-3.746,9:5.912:-2.283,8:-10.623:-1.21"
2026-02-26,6UGr4SKzybRX2sP5XSyI,LGtXqoqU97VAzOVlBq3d,,"10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0"
2026-02-20,B2DYafc5DJRZpkz8oFYW,QnH0rFllSHhT4ZMQHDWS,,"9:5.668:5.814,9:2.985:4.009,10:-0.917:0.059,10:1.863:-3.356,9:1.18:5.278,10:-0.771:3.083,10:2.985:1.278,10:-0.868:-0.283,9:0.156:4.741,8:4.839:11.228,10:1.912:-0.478,10:-2.673:-0.088,10:1.375:3.912,10:-1.551:2.107,9:5.18:-3.892,10:2.156:2.79,9:-1.356:-6.185,9:4.156:5.229,9:4.595:4.741,10:-1.21:-3.746,9:-1.307:-5.014,9:-4.965:5.034,10:0.936:2.01,10:0.79:1.863,9:4.936:4.302,10:2.644:-1.454,10:-0.624:-1.99,10:1.375:1.18,10:-0.722:1.766,9:-0.283:-4.917,9:4.253:-4.77,10:-0.673:-0.527,9:-5.063:-0.039,10:-2.77:2.888,10:-1.21:4.156,10:0.546:-1.356,10:1.278:2.692,10:-4.234:-0.38,10:-1.161:-2.234,10:0.156:-0.917,8:-2.283:-9.404,9:5.034:0.936,9:4.741:-0.185,10:1.571:-3.405,10:-1.454:3.131,10:-0.185:-0.185,10:-0.917:1.668,10:2.156:-2.088,10:-0.088:-3.405,9:3.619:3.131,9:-3.892:4.985,10:3.229:-0.283,9:1.717:-7.941,10:-1.21:-2.478,10:-0.039:0.985,9:-7.355:0.205,10:-0.966:-0.332,9:-3.941:4.253,10:-0.185:-2.331,10:0.156:-1.551"
2026-02-15,5ROOJxj3jLEfxWe0SgRN,E1IWHaon8XSE5WF9wheT,,"9:5.691:3.835,10:0.154:1.718,10:2.956:-1.181,10:-0.041:3.835,9:3.998:-2.647,10:1.783:-0.367,10:-0.725:-0.139,9:4.161:-3.103,10:1.978:-0.562,10:-0.211:-0.211,9:2.625:-3.78,10:-3.365:-0.333,10:0.4:2.503,10:-0.186:-2.02,10:-0.455:-3.071,8:6.366:9.984,10:-0.186:2.552,9:-3.634:-4.734,9:-4.88:-0.846,10:3.359:2.112,10:-3.487:0.229,10:-2.851:-1.115,10:-3.365:2.65,9:-6.396:-2.925,10:0.498:3.994,8:-0.015:-9.135,10:-2.118:-3.242,9:4.141:-1.58,10:3.554:0.4,10:2.992:1.745,10:-4.147:0.009,10:0.352:-0.993,10:-2.778:-1.433,10:2.674:3.31,9:-5.027:-1.238,10:1.892:-2.582,10:-0.015:-0.26,9:-5.1:2.381,10:3.163:0.132,10:-0.015:-0.064,9:0.327:-4.587,10:0.107:-0.015,10:-3.634:-1.531,10:-1.507:-3.169,10:-2.607:0.107,10:-1.238:0.523,10:-2.607:0.352,9:2.356:-6.69,9:-4.685:2.503,9:-4.783:3.31,10:3.799:-1.189,10:2.919:0.425,10:0.009:-2.533,9:0.572:-8.377,9:3.848:3.872,10:-0.944:-0.626,9:-4.025:-4.171,10:-2.925:-0.895,9:-7.594:-2.216,10:-0.92:0.498"
2026-02-12,rGc71L0wuzZcJGq0QiSu,wSNWiGHCCbcDSSdZTx0k,,"10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,8:0:0,10:0:0,10:0:0,7:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,9:0:0,0:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,8:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0"
